primaryKey,fullNameForSearch,birthdate,gender,height,weight,nationality
165153,Karim Benzema,1987-12-19,M,1.85,81,18
188545,Robert Lewandowski,1988-08-21,M,1.85,81,37
231747,Kylian Mbappe,1998-12-20,M,1.82,73,18
192985,Kevin De Bruyne,1991-06-28,M,1.81,70,7
158023,Lionel Messi,1987-06-24,M,1.69,67,52
209331,Mohamed Salah,1992-06-15,M,1.75,71,111
203376,Virgil van Dijk,1991-07-08,M,1.93,92,34
20801,C. Ronaldo dos Santos Aveiro,1985-02-05,M,1.87,83,38
192119,Thibaut Courtois,1992-05-11,M,1.99,96,7
167495,Manuel Neuer,1986-03-27,M,1.93,93,21
190871,Neymar da Silva Santos Jr.,1992-02-05,M,1.75,68,54
200104,Heung Min Son,1992-07-08,M,1.83,78,167
208722,Sadio Mane,1992-04-10,M,1.74,69,136
212622,Joshua Kimmich,1995-02-08,M,1.77,75,21
200145,Carlos Henrique Venancio Casimiro,1992-02-23,M,1.85,84,54
212831,Alisson Ramses Becker,1992-10-02,M,1.91,91,54
202126,Harry Kane,1993-07-28,M,1.88,89,14
210257,Ederson Santana de Moraes,1993-08-17,M,1.88,86,54
215914,N'Golo Kante,1991-03-29,M,1.68,70,18
200389,Jan Oblak,1993-01-07,M,1.88,87,44
239085,Erling Haaland,2000-07-21,M,1.95,94,36
182521,Toni Kroos,1990-01-04,M,1.83,76,21
207865,Marcos Aoas Correa,1994-05-14,M,1.83,75,54
177003,Luka Modric,1985-09-09,M,1.72,66,10
210514,Joao Pedro Cavaco Cancelo,1994-05-27,M,1.82,74,38
239818,Ruben Santos Gato Alves Dias,1997-05-14,M,1.87,82,38
230621,Gianluigi Donnarumma,1999-02-25,M,1.96,90,27
218667,Bernardo Mota Carvalho e Silva,1994-08-10,M,1.73,64,38
192448,Marc-Andre ter Stegen,1992-04-30,M,1.87,85,21
193041,Keylor Navas,1986-12-15,M,1.85,80,72
209499,Fabio Henrique Tavares,1993-10-23,M,1.88,78,54
189596,Thomas Muller,1989-09-13,M,1.85,76,21
231866,Rodrigo Hernandez Cascante,1996-06-22,M,1.91,82,45
215698,Mike Maignan,1995-07-03,M,1.91,89,18
205452,Antonio Rudiger,1993-03-03,M,1.9,85,21
216267,Andrew Robertson,1994-03-11,M,1.78,64,42
201024,Kalidou Koulibaly,1991-06-20,M,1.87,89,136
228702,Frenkie de Jong,1997-05-12,M,1.8,74,34
199556,Marco Verratti,1992-11-05,M,1.65,60,27
209658,Leon Goretzka,1995-02-06,M,1.89,82,21
231281,Trent Alexander-Arnold,1998-10-07,M,1.8,69,14
167948,Hugo Lloris,1986-12-26,M,1.88,82,18
193080,David De Gea Quintana,1990-11-07,M,1.92,76,45
238794,Vinicius Jose de Oliveira Junior,2000-07-12,M,1.76,73,54
232411,Christopher Nkunku,1997-11-14,M,1.75,73,18
231478,Lautaro Martinez,1997-08-22,M,1.74,72,52
234642,Edouard Mendy,1992-03-01,M,1.97,86,136
211110,Paulo Dybala,1993-11-15,M,1.77,75,52
212218,Aymeric Laporte,1994-05-27,M,1.91,85,45
202652,Raheem Sterling,1994-12-08,M,1.7,69,14
188943,Kevin Trapp,1990-07-08,M,1.89,84,21
204485,Riyad Mahrez,1991-02-21,M,1.79,67,97
192387,Ciro Immobile,1990-02-20,M,1.85,85,27
189509,Thiago Alcantara,1991-04-11,M,1.74,70,45
213345,Kingsley Coman,1996-06-13,M,1.79,75,18
192505,Romelu Lukaku,1993-05-13,M,1.91,94,7
